"class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d"
"Aves","Accipitriformes","Accipitridae","Accipiter","albogularis",-999,"Pied Goshawk",-999,-999,-999,251.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,352.5,223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","badius",-999,"Shikra",363.468,3.25,1,140,-999,-999,-999,-999,-999,21,30,32,-999,-999,-999,168.5,125,123,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","bicolor",-999,"Bicolored Hawk",-999,2.7,-999,345,-999,-999,-999,-999,-999,32,-999,-999,-999,-999,-999,390,212,-999,-999,-999,-999,39.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","brachyurus",-999,"New Britain Sparrowhawk",-999,-999,-999,142,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,142,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","brevipes",-999,"Levant Sparrowhawk",363.468,4,1,203.5,-999,-999,-999,-999,-999,21.85,32.5,42.5,-999,-999,-999,230.5,170,-999,-999,-999,-999,33.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","castanilius",-999,"Chestnut-flanked Sparrowhawk",-999,-999,-999,159.375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,176,142.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","chilensis",-999,"Chilean Hawk",-999,2.7,-999,345,-999,-999,-999,-999,-999,32,-999,-999,-999,-999,-999,377,212,-999,-999,-999,-999,39.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","chionogaster",-999,"White-breasted Hawk",547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","cirrocephalus",-999,"Collared Sparrowhawk",-999,3.25,-999,180,-999,-999,-999,-999,-999,20.75,-999,-999,-999,-999,-999,231,127.25,-999,-999,-999,-999,32.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","cooperii",-999,"Cooper's Hawk",730,4.35,1,452,20.33333333,-999,-999,28,-999,40,29.75,32,12,730,-999,529,338.5,452,-999,-999,-999,42,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","erythrauchen",-999,"Rufous-necked Sparrowhawk",-999,-999,-999,156,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,156,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","erythronemius",-999,"Rufous-thighed Hawk",547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","erythropus",-999,"Red-thighed Sparrowhawk",-999,2,-999,107,-999,-999,-999,-999,-999,20.5,-999,-999,-999,-999,-999,146,84.7,-999,-999,-999,-999,24.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","fasciatus",-999,"Brown Goshawk",-999,3,-999,453.5,-999,-999,-999,-999,-999,31,30,30,-999,-999,-999,499.375,303.25,-999,-999,-999,-999,44,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","francesiae",-999,"Frances's Sparrowhawk",-999,3,-999,135.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,154.25,119.5,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","gentilis",-999,"Northern Goshawk",636.835,3.5,1,988.75,22,-999,-999,37,-999,58,34.75,41.65,17.70833333,730,-999,1117.333334,734,924.5,-999,-999,-999,54.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","griseiceps",-999,"Sulawesi Goshawk",-999,-999,-999,255.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,299,212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","gularis",-999,"Japanese Sparrowhawk",-999,3.2,-999,118.75,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,140.75,103.5,-999,-999,-999,-999,28.25,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","gundlachi",-999,"Gundlach's Hawk",-999,3.75,-999,675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,675,-999,-999,-999,-999,-999,43,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","haplochrous",-999,"White-bellied Goshawk",-999,3,-999,240.5,-999,-999,-999,-999,-999,25.5,-999,-999,-999,-999,-999,254,157,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","henstii",-999,"Henst's Goshawk",-999,2,-999,1050,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1050,-999,-999,-999,-999,-999,57,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","hiogaster",-999,"Variable Goshawk",-999,2.725,-999,342.75,-999,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,597.25,261.375,354,-999,-999,-999,49.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","imitator",-999,"Imitator Goshawk",-999,-999,-999,237.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,238,208,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","luteoschistaceus",-999,"Slaty-mantled Goshawk",-999,-999,-999,213.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,213.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","madagascariensis",-999,"Madagascan Sparrowhawk",-999,3,-999,182,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,209.5,156,-999,-999,-999,-999,36,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","melanochlamys",-999,"Black-mantled Goshawk",-999,-999,-999,269,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,294,-999,267,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","melanoleucus",-999,"Black Sparrowhawk",1090.404,2.8,1,701.8833333,10,-999,-999,-999,-999,50.75,37.5,40,7.5,-999,-999,865,550,699.15,-999,-999,-999,47,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","meyerianus",-999,"Meyer's Goshawk",-999,3,-999,815,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1100,530,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","minullus",-999,"Little Sparrowhawk",363.468,2,-999,84.05,-999,-999,-999,-999,-999,17.95,31.5,25.5,-999,-999,-999,97.25,80.9,-999,-999,-999,-999,22.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","nisus",-999,"Eurasian Sparrowhawk",365,4.75,1,212,20.25,-999,-999,13.8,-999,22.5,34,26.5,17.89166667,365,-999,290,147,169.5,-999,-999,-999,34,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","novaehollandiae",-999,"Grey Goshawk",-999,2.725,-999,479.5833333,-999,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,716,312,354,-999,-999,-999,49.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","ovampensis",-999,"Ovambo Sparrowhawk",-999,3,-999,199.1666667,-999,-999,-999,-999,-999,-999,33,33,-999,-999,-999,260,140,195,-999,-999,-999,34.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","poliocephalus",-999,"Grey-headed Goshawk",-999,1,-999,225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,253,205,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","rhodogaster",-999,"Vinous-breasted Sparrowhawk",-999,-999,-999,188.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,264,113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","rufitorques",-999,"Fiji Goshawk",-999,2.7,-999,209,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,209,-999,-999,-999,-999,36,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","rufiventris",-999,"Rufous-breasted Sparrowhawk",-999,3,-999,198,-999,-999,-999,-999,-999,23,-999,29,-999,-999,-999,-999,-999,198,-999,-999,-999,32.5,-999,-999,-999,-999,-999,-999,-999
